,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z
154,-179203.2140683908,3.0999989984470058,38.5995343618632,29.30036000017948,1000.1239718248331,1.3702020666771355,-1.260098582256199,2.7598230781103537,5.056732290971516e-05,3.241151034715163e-06,3.6923229097151637e-06
155,-179203.1493549182,3.1000005287142094,38.599875700340284,29.30008422684783,1000.6379910528356,1.3700207309400594,-1.2599795633201611,2.759957253643952,5.04857277735136e-05,1.7158058985136126e-06,3.6107277735136152e-06
156,-179203.21519413538,3.0999984799173865,38.59995421449855,29.30005797626465,999.8190731325899,1.3702711844719344,-1.2600319494457726,2.759793472870789,5.0944269550078424e-05,3.5955390813284374e-06,4.069269550078438e-06
157,-179203.1729287657,3.1000001261216323,38.60124900041199,29.299098471716448,999.8656920446415,1.3700554355476846,-1.2600557078743324,2.759964806926156,5.127777252530366e-05,2.413104556553655e-06,4.402772525303655e-06
158,-179203.21346473088,3.0999987162561373,38.59943594629213,29.300428754678556,1000.1428068406728,1.3702477346802469,-1.2600012124827247,2.759797464588845,5.06281468608003e-05,3.255729868612805e-06,3.7531468608003045e-06
159,-179203.18777377874,3.099998115673832,38.59996780032699,29.300056359918067,1000.1294318521261,1.370416816874835,-1.2600389977230664,2.759665983653666,5.556500687009622e-05,6.600855502908735e-06,-1.0059993129903764e-05
160,-179203.21853165585,3.099999528918458,38.59999195009325,29.300014089959102,1000.0323579630315,1.3701042042187088,-1.2600097494307665,2.7599164959134166,4.904750171752406e-05,1.6502138757271839e-06,9.20375171752406e-06
161,-179203.17347607733,3.100000401429936,38.59929614065296,29.300480709773286,999.8936403144107,1.3700741484661374,-1.260078544666798,2.759934413148541,5.18201071948511e-05,2.7514982593042267e-06,3.226357194851102e-06
162,-179203.22188593715,3.0999986128747268,38.60024281426673,29.299856726293193,1000.1248245350536,1.370245730399309,-1.259996138005713,2.7598053968420153,5.0723401810431494e-05,3.2999995765447734e-06,3.418714310431492e-06
163,-179203.2043229491,3.099999951534132,38.59940199542907,29.300444369376873,999.9336108533677,1.369858994099648,-1.2600349827341784,2.759892445665737,5.207191303900961e-05,2.893623656685396e-06,3.3922255390096146e-06
164,-179203.22126921808,3.09999958639235,38.599655889736795,29.30026169290535,999.9891415379398,1.370012417412941,-1.2600286242698933,2.7598704672196597,5.160616558485847e-05,3.003698548115313e-06,3.377649959858477e-06
165,-179203.20346202364,3.099998904754333,38.599850392613284,29.30012794522176,1000.0581393984554,1.3702075993934644,-1.2600340854836158,2.7597759063135956,5.388755222754955e-05,-4.073730562123314e-06,4.937161602549538e-06
166,-179203.22230182454,3.0999993855793795,38.59990031751201,29.300083507154586,1000.0326806959622,1.370131003311861,-1.2600186282343917,2.7598784545018376,5.016846127616041e-05,5.795328078742193e-06,2.7746136199104055e-06
167,-179203.20621814037,3.100000353082673,38.59897517896724,29.300760416881182,999.8815935846121,1.3699868884186377,-1.2599959983544355,2.760103573615154,5.239669645016854e-05,1.967037021012057e-06,3.3425362939185518e-06
168,-179203.222981745,3.099998822421875,38.60022643809039,29.29984819435199,1000.0999461554238,1.3702169614308208,-1.2600335549598851,2.759751306422576,5.0882494315652814e-05,3.1188294583636995e-06,3.4627042765903224e-06
169,-179203.2055220505,3.099998408125498,38.60041033183188,29.29972234204962,1000.0661974156505,1.370097897425128,-1.260018211028509,2.7599247691397952,5.197653890969858e-05,1.884771509084262e-06,2.813420745636083e-06
170,-179203.22338430767,3.0999996155583487,38.59963612300708,29.300275473030347,1000.0216216950006,1.3701657466778792,-1.2600236603485475,2.7598330359005265,5.1103145148933876e-05,3.1016876737803036e-06,3.6561156079182583e-06
171,-179203.21184093656,3.099999889765769,38.60039247176976,29.29972278797227,999.9059166672939,1.3700221282398712,-1.2600469649075094,2.7599368769673904,5.225540560187063e-05,2.1055595968506076e-06,2.9778815296050197e-06
172,-179203.22350044112,3.099999009633545,38.59967507945619,29.30025225789468,1000.0835842973281,1.370191333070153,-1.2600126505889209,2.7598323176834816,5.103496154606788e-05,2.9681873006722556e-06,3.5593305280014833e-06
173,-179203.2126173249,3.099999609812208,38.60032220095367,29.29976999035783,999.9166741776329,1.370065649521586,-1.2599324088005792,2.7599131113605067,5.240975728022633e-05,2.0655456839396685e-06,3.012107004347424e-06
174,-179203.22367727716,3.0999991512883063,38.59973132289328,29.300212494192927,1000.072147413033,1.3701679623882481,-1.260057038892294,2.759845586422892,5.102793150234295e-05,2.9472496970212894e-06,3.522268933373229e-06
175,-179203.21288462786,3.1000002626160117,38.599857773410946,29.300102908314898,1000.2721877259646,1.3699758873100496,-1.2600040595003097,2.7599531393104924,5.204954303031597e-05,1.5814997604649643e-06,2.5257602406431083e-06
176,-179203.22406434466,3.099998925592043,38.599930104232065,29.300069209247347,999.9323517809336,1.3701973601814632,-1.2600249769594067,2.7598333894807148,5.122058792013781e-05,3.092029251112569e-06,3.6833922227196054e-06
177,-179203.2167507938,3.0999990929496573,38.59980766844003,29.300157818989472,1000.0389016591032,1.3701614987558266,-1.2600293050210438,2.759813494981324,5.438092810339308e-05,3.8151880411432956e-06,-3.7127938257634047e-06
178,-179203.22485030396,3.0999994199262577,38.59994587975515,29.300050022012915,1000.0339938870494,1.3701185278529882,-1.260014638328336,2.7598907456803934,5.0380858313991315e-05,2.191457417081212e-06,5.974615331702194e-06
179,-179203.22236874886,3.099999002182547,38.600201725389354,29.29986788600697,1000.0910885540175,1.3702745076496035,-1.2600076329936059,2.759863579367228,5.157720278188525e-05,2.299255142548346e-06,2.6327010062709212e-06
180,-179203.21685777395,3.100000053561734,38.59960658292658,29.30027508553745,999.948658360696,1.3700469501132948,-1.2600424182553647,2.7599402862499147,5.263072675060299e-05,1.8028052273196011e-06,2.434433994865792e-06
181,-179203.22605608247,3.0999989730464783,38.60008375704123,29.299961314153986,1000.0807829914642,1.3701960353278055,-1.2600077080681258,2.75983911919399,5.120023304547437e-05,2.9257009892384803e-06,3.1726442315400673e-06
182,-179203.2226053926,3.099999198350501,38.59998576921283,29.300023860867324,1000.0504226588878,1.370174683603931,-1.260017743993433,2.759859361528523,5.339202163873686e-05,-1.2664486927785616e-06,3.158140807712811e-06
183,-179203.22142805127,3.099999620980924,38.599641168448095,29.300270681805713,999.9838816218064,1.3700112144570546,-1.2600307614341846,2.7598733930953916,5.2346243904382344e-05,1.5164834763499034e-06,3.405141381640673e-06
184,-179203.22576056566,3.0999991568821414,38.60006158673456,29.2999685832623,1000.0642868209648,1.3702086843514663,-1.2600134151037505,2.759866032799269,5.176946306250952e-05,2.1035622259987354e-06,2.8258111001133594e-06
185,-179203.2224735313,3.0999994165192977,38.59987228964638,29.30010364699981,1000.0273203493516,1.3701178386522337,-1.2600197846564205,2.7598789451882464,5.020691333228524e-05,5.756189495432271e-06,2.813235638678893e-06
186,-179203.22574847983,3.0999992528927,38.599957399343864,29.300043807332923,1000.0446470815037,1.3701604723660066,-1.26001825415918,2.759864257443454,5.259574456212396e-05,4.892108542741466e-07,3.0719145154543315e-06
187,-179203.22342658596,3.0999998785420892,38.59957781077441,29.300318442602915,999.9667370380316,1.370064263012381,-1.2600009135298276,2.7600095904983686,5.30590907046635e-05,8.44987623472099e-07,2.4305142175741834e-06
188,-179203.2240160203,3.099999138002363,38.60015646424691,29.29989975543715,1000.0340845670611,1.370095181032223,-1.2600062587774208,2.7599631719399857,5.322962898252839e-05,4.1078939799385417e-07,1.9919826081774324e-06
189,-179203.22344015003,3.0999987269106777,38.600330505542644,29.299773053140836,1000.102438729836,1.3702028483016897,-1.2600300746456599,2.759777333630468,5.130779108237173e-05,2.58064980320641e-06,3.129877676642157e-06
190,-179203.22603330127,3.099999014818531,38.60014233291709,29.299909397418404,1000.0685133068848,1.3701682019793626,-1.2600227843667018,2.759835397847443,5.1745615987944666e-05,2.146734258272832e-06,2.955036811875164e-06
191,-179203.2239224004,3.099999596856218,38.60032668803138,29.299770664239414,999.982577272451,1.3700711520257594,-1.2600203643421224,2.7599552224781467,5.347405112934271e-05,2.931595175263679e-07,1.880202622989593e-06
192,-179203.2252450151,3.09999954431504,38.6003895175274,29.29972206216571,999.9761001286295,1.3700751606351669,-1.2599686411287148,2.7599638809497877,5.397030509846761e-05,-2.1672091472164987e-07,1.5888509555411204e-06
193,-179203.22251652548,3.099999088238892,38.59980671927288,29.300154168968433,1000.0643748404475,1.370172772719537,-1.2599949710362053,2.7598559765888613,5.1623436265292816e-05,2.3353931783236684e-06,3.1726469324350623e-06
194,-179203.22643806867,3.0999994697018867,38.600196696371285,29.299866538913797,1000.0030266644501,1.3700965571992039,-1.260014016015643,2.7599304110058256,5.301139741333024e-05,8.03717932725693e-07,2.2033137003509603e-06
195,-179203.22416387632,3.0999996134326535,38.59998499078131,29.300018430793248,1000.006655965315,1.3701490189464698,-1.260010628048551,2.75984147494019,5.182421209826751e-05,2.2963490048025496e-06,3.1031331656819283e-06
196,-179203.22398388342,3.0999999634110957,38.60022232768801,29.29983882236469,1000.1232495883188,1.370037171550231,-1.2599890400843936,2.759972874491355,5.3953977996284004e-05,-5.440268975781697e-07,1.2956717397322204e-06
197,-179203.22634960647,3.099999185046806,38.60000316028962,29.300011612006912,999.9800762327799,1.3701573130236553,-1.2600159927406533,2.759868260733375,5.190393543917436e-05,2.1830152139398844e-06,3.0864621019727594e-06
198,-179203.22415339132,3.099999189893315,38.60017107539312,29.299888236168897,1000.0436294574303,1.3700871716006615,-1.26000446193367,2.7599701461905175,5.336629848633571e-05,2.2898659055931714e-07,1.872596584028063e-06
199,-179203.2263825769,3.099999507547819,38.60003151199448,29.299985881956726,1000.0158993383438,1.3701335571100177,-1.2600090865198308,2.7598736427527717,5.2209733695284555e-05,1.7795084012417415e-06,2.795499020268462e-06
200,-179203.2233908348,3.0999994009240233,38.60022731258672,29.299843817719943,1000.0126726259545,1.3701206685455491,-1.2599993412921844,2.75991745486479,5.5175427346870543e-05,2.5148837511276075e-07,-1.6347088442789484e-06
201,-179203.22669869452,3.099999415175699,38.6000162381159,29.299998470501713,1000.0286635717757,1.3701190630261284,-1.260010814069298,2.7598974229764925,5.1579500572211125e-05,1.706465156589099e-06,4.0722842877069085e-06
202,-179203.2222763328,3.099999250707372,38.59970901667428,29.300227065613413,1000.0810790730038,1.3701728162415625,-1.260053773079922,2.759831028000737,5.110781965714295e-05,3.0443039211777723e-06,3.247742198315282e-06
203,-179203.2269246556,3.099999470913123,38.600219393233566,29.29984831042426,1000.002344864723,1.370099574536766,-1.2599899241165167,2.759930667712525,5.3254683738136444e-05,5.985352942532057e-07,2.003573766234661e-06
204,-179203.22659378801,3.099999585733796,38.600193535811634,29.299866214892223,1000.0040716767736,1.370075324944875,-1.2599984940409241,2.759943933560885,5.26141680286891e-05,2.3602370401777875e-06,1.5510104885581367e-06
205,-179203.22548288305,3.099999767514686,38.6001157385437,29.29992096442105,999.9723889084744,1.3700004410780966,-1.2600003488837885,2.759957738357393,5.360939052153946e-05,7.972206312890091e-07,1.5421537815880638e-06
206,-179203.2268187019,3.0999993095402774,38.60007512469524,29.299956678531316,1000.0413123428422,1.370156623533124,-1.26001014854876,2.7598889591887996,5.2229444927267004e-05,1.7769768273213037e-06,2.5048967704820357e-06
207,-179203.22640876245,3.0999999685226456,38.60002155067423,29.29998960663816,999.9627222297459,1.3700386077609528,-1.2599884524572482,2.7599990855774896,5.373000338396878e-05,6.800971128246067e-07,1.3229000615476345e-06
208,-179203.22533364675,3.100000209389931,38.60006768534091,29.299943348193427,999.9268403928228,1.3699792888991396,-1.2599996776336493,2.760027357507642,5.478134039413794e-05,-5.479903934238158e-07,7.353438078842437e-07
209,-179203.2269615548,3.0999992821323414,38.60007973911656,29.29995682266349,1000.0422973418038,1.370141848720639,-1.2600057004595067,2.759886178772403,5.209550988264026e-05,2.057278143572906e-06,2.5633191256261114e-06
210,-179203.22683384432,3.1000000168067112,38.60016359768042,29.299882092941193,1000.0399913733116,1.3700149183426862,-1.2599893345048923,2.7600017995760635,5.4115952889131146e-05,1.695479678013845e-07,7.168973421822224e-07
211,-179203.22620169522,3.099999796157477,38.60016166318846,29.29988706500335,1000.0089866747412,1.3700149465028577,-1.2599922903227265,2.760022048921325,5.4191398471790256e-05,2.51062693811456e-07,5.921400882692717e-07
212,-179203.22701657083,3.099999579700233,38.60006404982834,29.299961177620265,1000.0141711724432,1.3701039044582277,-1.2600048874705547,2.75991074429491,5.270514988941098e-05,1.39739697438417e-06,2.2446592872686645e-06
213,-179203.22629076528,3.099999257418167,38.60018012430614,29.299877654636354,1000.0724535718789,1.3701229551913774,-1.2600162113879712,2.7598789378400914,5.246615808419448e-05,1.4939339545405035e-06,2.2490908921343053e-06
214,-179203.22701963305,3.099999790746526,38.60006119412685,29.299961618505158,999.9901550652792,1.370059694618559,-1.259995392189929,2.75996904864314,5.341404205902521e-05,8.835563232535809e-07,1.5544477691943022e-06
215,-179203.22609237357,3.099999820447854,38.599977878039304,29.300019738643936,1000.0295748173405,1.3700576332369976,-1.2599869230644334,2.759955339939218,5.3265292983972e-05,1.3862808127449945e-06,1.238904067099648e-06
216,-179203.22704882675,3.0999995573883785,38.60014199187169,29.299904838596618,1000.0096637026727,1.3700868262086523,-1.2600072427778406,2.7599366432391736,5.307487130599068e-05,9.493586527305184e-07,1.962211292038132e-06
217,-179203.22656185707,3.0999996987468617,38.59997072976607,29.300027787513294,1000.0296482101968,1.370081165744082,-1.2600041947865357,2.7599403593198173,5.3754663024073484e-05,-4.5241397219655354e-07,1.973447439588471e-06
218,-179203.22705563565,3.0999996139870625,38.60013783439386,29.29990660777663,1000.0104658101294,1.3700767851446767,-1.259999919227327,2.7599430400006177,5.2899291777535194e-05,1.6570742870842023e-06,1.6566197263157202e-06
219,-179203.22678842457,3.099999909067231,38.60017234681699,29.299877159043444,1000.0014167628653,1.3700289720865377,-1.2599896957897672,2.7599959933090332,5.505328872161625e-05,1.914797374911551e-07,-1.030959271838539e-06
220,-179203.22711857932,3.099999785594348,38.600133319695246,29.299907486762482,1000.008228465093,1.3700514948214355,-1.25999497535965,2.759971350725898,5.4184841684264964e-05,5.70226092265641e-07,2.448516180478231e-07
221,-179203.22697600882,3.1000001099134673,38.600125099359225,29.29990911232034,999.9821512162488,1.3699703858372048,-1.2599873266724828,2.760020935404146,5.479442371795999e-05,-1.2038208025218198e-07,8.441921489949141e-08
222,-179203.2265708473,3.099999421268385,38.60002892661261,29.299989102053626,999.971904154367,1.370103184526546,-1.2600077391498692,2.7599119221824995,5.304360992186159e-05,1.4290607696570237e-06,1.7459230177427586e-06
223,-179203.22715692592,3.0999998679221297,38.60012992995527,29.299908845107755,1000.0229695685755,1.370036984888651,-1.2599939356661365,2.7599793302276723,5.3847867147313754e-05,4.844261682652943e-07,9.741537610723563e-07
224,-179203.22691998226,3.1000000465637747,38.59995523815665,29.300034992274487,1000.0136756037264,1.370006010402843,-1.2600079518481686,2.7599927865490663,5.4023515754691777e-05,9.772516180076205e-07,2.533625926578594e-07
225,-179203.22715330886,3.0999996148257862,38.6001533545885,29.29989498051851,1000.0051775494738,1.370076183503285,-1.2599944310494298,2.7599461974216606,5.344689174227528e-05,6.932143751918094e-07,1.5660209728404606e-06
226,-179203.22694069654,3.1000003018832447,38.60010961568714,29.299914110638962,999.9662991681794,1.3699506031754995,-1.2599899216231634,2.7600492792190403,5.545296598211495e-05,-7.543039849882994e-07,-5.058423972907214e-07
