,mloglik,tc,mass1,mass2,distance,ra,dec,polarization,inclination,spin1z,spin2z,chirp,q
14692,-171375.47148069003,3.100786414667085,47.73364212712482,24.333997759632307,1063.3538775701923,1.4142455343004556,-1.2821800038890787,3.2018811467279233,0.0005901982698446287,0.14548884179428503,-0.004170281189517047,29.340989903558793,1.9616029638298973
14693,-171375.75956535354,3.1007833837720913,47.73361041278849,24.333895565243044,1063.4312405043688,1.4143363629298777,-1.2823749447815005,3.2018302798160523,0.0005900592483267415,0.14545037392726695,-0.004170135243107297,29.34091517744359,1.961609898620921
14694,-171374.0115079387,3.100785991118687,47.733893122225815,24.33389923217771,1061.687219096289,1.4150461732864925,-1.2816080578497362,3.2026135361558907,0.0005913586878330708,0.14542231230761368,-0.004169585503897893,29.340998777205225,1.9616212209470043
14695,-171375.07945195184,3.100789983254602,47.73358368133876,24.334149677362433,1063.891841196957,1.4138431124725916,-1.2821751751498578,3.2016637259682903,0.0005899195123065861,0.14555706670218216,-0.004170706261335198,29.341070642820977,1.9615883157710803
14696,-171375.06279062363,3.1007894087423793,47.735774450365426,24.33307742020173,1064.2856415516449,1.4136858882393915,-1.282211485027652,3.201753262391974,0.0005901791900633595,0.14555035938054978,-0.004170698526346675,29.341011781076254,1.9617647873316009
14697,-171375.06835571933,3.10078982333434,47.73792990250743,24.332161191445895,1064.118007448508,1.4136693100110649,-1.2818607433303666,3.2020741730233695,0.0005908821999579082,0.14556729110998445,-0.004170713252453218,29.34104288553319,1.9619272421756746
14698,-171375.43046547807,3.100790382903711,47.73116595587208,24.33538206626481,1063.0917008582433,1.414174126577032,-1.2819222357806743,3.2017090828979087,0.0005899106507196142,0.1455610413220553,-0.004170765277010919,29.341167010867032,1.9613896270829434
14699,-171375.10739830928,3.100792638743842,47.731705396734476,24.3351444637325,1063.8487696715874,1.4137243231486036,-1.2820147758189804,3.2014570126547586,0.0005896225710755865,0.14561617432391144,-0.004171199142491602,29.341169506598835,1.9614309447749807
14700,-171375.23245790147,3.1007842436069177,47.737116808148805,24.33229009950243,1064.3547062235612,1.4138341234242788,-1.2824163655472118,3.20186921120762,0.0005903274686511906,0.1454852243073185,-0.004170315941431482,29.340892008849355,1.961883431971945
14701,-171375.17294747493,3.10078996715135,47.737629265672204,24.332340384828285,1064.733131285213,1.4133918810873913,-1.2820900862506464,3.201768655831322,0.0005903716699311326,0.14558987940977458,-0.004170988677358341,29.341071553976178,1.9619004382923064
14702,-171375.38179100788,3.1007852773165405,47.730760582432474,24.335337413872832,1063.8807050339165,1.413998860121878,-1.282528125529309,3.2013217733289148,0.0005891586977646783,0.14552302414441107,-0.0041707048000865846,29.341021838933443,1.9613765681844473
14703,-171374.61310817258,3.1007896421237993,47.73190596739884,24.334953058619096,1064.9118512669168,1.4133366809031531,-1.282538388247357,3.201025115950896,0.0005888736349699635,0.14561557584750343,-0.00417139585095363,29.341104267714513,1.9614546143738243
14704,-171375.30274866396,3.1007879895270554,47.734988887386116,24.333452610371044,1063.4416597609795,1.4141137654563134,-1.2820006447480798,3.202010299714499,0.000590524219864725,0.14551519259106138,-0.004170380759028786,29.34102692567276,1.96170225621995
